"Date","Price","Open","High","Low","Vol.","Change %"
"07/25/2021","30.20","30.20","30.20","30.20","","73.86%"
"08/01/2021","25.28","25.28","25.28","25.28","","-16.29%"
"08/08/2021","21.80","21.80","21.80","21.80","","-13.77%"
"08/15/2021","27.89","27.89","27.89","27.89","","27.94%"
"08/22/2021","24.77","24.77","24.77","24.77","","-11.19%"
"08/29/2021","23.60","23.60","23.60","23.60","","-4.72%"
"09/05/2021","37.72","37.72","37.72","37.72","","59.83%"
"09/12/2021","37.55","37.55","37.55","37.55","","-0.45%"
"09/19/2021","27.33","27.33","27.33","27.33","","-27.22%"
"09/26/2021","32.35","32.35","32.35","32.35","","18.37%"
"10/03/2021","28.07","28.07","28.07","28.07","","-13.23%"
"10/10/2021","22.23","22.23","22.23","22.23","","-20.81%"
"10/17/2021","18.54","18.54","18.54","18.54","","-16.60%"
"10/24/2021","20.25","20.25","20.25","20.25","","9.22%"
"10/31/2021","14.50","14.50","14.50","14.50","","-28.40%"
"11/07/2021","18.65","18.65","18.65","18.65","","28.62%"
"11/14/2021","21.85","21.85","21.85","21.85","","17.16%"
"11/21/2021","32.46","32.46","32.46","32.46","","48.56%"
"11/28/2021","35.90","35.90","35.90","35.90","","10.60%"
"12/05/2021","21.03","21.03","21.03","21.03","","-41.42%"
"12/12/2021","27.94","27.94","27.94","27.94","","32.86%"
"12/19/2021","20.45","20.45","20.45","20.45","","-26.81%"
"12/26/2021","16.89","16.89","16.89","16.89","","-17.41%"
"01/02/2022","18.50","18.50","18.50","18.50","","9.53%"
"01/09/2022","21.18","21.18","21.18","21.18","","14.49%"
"01/16/2022","37.20","37.20","37.20","37.20","","75.64%"
"01/23/2022","38.20","38.20","38.20","38.20","","2.69%"
"01/30/2022","34.47","34.47","34.47","34.47","","-9.76%"
"02/06/2022","41.36","41.36","41.36","41.36","","19.99%"
"02/13/2022","46.87","46.87","46.87","46.87","","13.32%"
"02/20/2022","47.13","47.13","47.13","47.13","","0.55%"
"02/27/2022","47.85","47.85","47.85","47.85","","1.53%"
"03/06/2022","47.12","47.12","47.12","47.12","","-1.53%"
"03/13/2022","42.24","42.24","42.24","42.24","","-10.36%"
"03/20/2022","31.16","31.16","31.16","31.16","","-26.23%"
"03/27/2022","23.33","24.31","32.11","22.56","","-25.13%"
"04/03/2022","24.75","24.60","35.08","20.78","","6.09%"
"04/10/2022","32.78","27.95","35.32","26.75","","32.44%"
"04/17/2022","38.03","36.48","38.16","24.42","","16.02%"
"04/24/2022","50.45","39.84","54.29","34.18","","32.66%"
"05/01/2022","48.43","51.31","57.34","43.70","","-4.00%"
"05/08/2022","46.41","52.32","55.28","44.20","","-4.17%"
"05/15/2022","48.40","45.75","52.50","44.81","","4.29%"
"05/22/2022","50.24","47.49","53.55","47.28","","3.80%"
"05/29/2022","43.42","53.51","53.55","43.42","","-13.57%"
"06/05/2022","49.59","43.34","52.62","42.94","","14.21%"
"06/12/2022","51.93","57.86","58.95","45.80","","4.72%"
"06/19/2022","46.72","46.86","57.50","45.23","","-10.03%"
"06/26/2022","40.57","44.86","47.65","38.71","","-13.16%"
"07/03/2022","37.24","43.83","45.06","36.63","","-8.21%"
"07/10/2022","35.86","40.51","44.07","35.22","","-3.71%"
"07/17/2022","32.32","36.34","39.34","30.71","","-9.87%"
"07/24/2022","39.50","33.82","41.15","31.94","","22.22%"
"07/31/2022","39.70","42.33","47.55","38.09","","0.51%"
"08/07/2022","36.02","39.11","41.96","34.27","","-9.27%"
"08/14/2022","40.32","38.85","42.86","36.30","","11.94%"
"08/21/2022","49.12","46.97","51.14","43.50","","21.83%"
"08/28/2022","46.85","51.20","54.04","42.08","","-4.62%"
"09/04/2022","46.19","45.83","52.04","42.99","","-1.41%"
"09/11/2022","50.02","47.12","55.37","46.95","","8.29%"
"09/18/2022","49.95","51.72","58.66","43.36","","-0.14%"
"09/25/2022","42.95","50.44","57.46","41.54","","-14.01%"
"10/02/2022","44.62","43.17","48.14","42.90","","3.89%"
"10/09/2022","46.85","46.92","53.08","45.93","","5.00%"
"10/16/2022","50.52","45.78","52.51","45.78","","7.83%"
"10/23/2022","55.47","54.03","114.94","46.47","","9.80%"
"10/30/2022","49.57","56.45","64.77","48.95","","-10.64%"
"11/06/2022","39.34","50.13","52.95","38.94","","-20.64%"
"11/13/2022","47.50","47.11","50.79","44.09","","20.74%"
"11/20/2022","40.24","47.39","47.39","39.78","","-15.28%"
"11/27/2022","39.21","42.18","47.71","37.93","","-2.56%"
"12/04/2022","43.38","39.73","47.38","31.74","","10.64%"
"12/11/2022","45.28","43.58","52.10","42.25","","4.38%"
"12/18/2022","39.48","45.00","46.63","39.06","","-12.81%"
"12/25/2022","34.95","39.94","40.83","34.14","","-11.47%"
"01/01/2023","32.47","37.19","37.85","31.70","","-7.10%"
"01/08/2023","24.89","33.93","35.54","23.41","","-23.34%"
"01/15/2023","31.23","30.06","33.81","27.57","","25.47%"
"01/22/2023","27.41","30.08","34.13","26.23","","-12.23%"
"01/29/2023","27.89","29.40","31.30","22.07","","1.75%"
"02/05/2023","33.75","29.32","35.44","28.52","","21.01%"
"02/12/2023","34.75","37.13","37.28","30.08","","2.96%"
"02/19/2023","42.26","43.82","45.72","39.12","","21.61%"
"02/26/2023","37.51","40.41","44.01","35.99","","-11.24%"
"03/05/2023","45.75","38.01","53.13","37.03","","21.97%"
"03/12/2023","45.47","61.48","61.92","39.55","","-0.61%"
"03/19/2023","35.37","45.50","46.80","35.15","","-22.21%"
"03/26/2023","26.14","31.49","34.62","25.45","","-26.10%"
"04/02/2023","26.54","28.62","30.79","26.43","","1.53%"
"04/09/2023","23.29","29.27","29.57","23.29","","-12.25%"
"04/16/2023","24.02","24.31","26.07","22.15","","3.13%"
"04/23/2023","25.29","24.48","34.61","23.42","","5.29%"
"04/30/2023","31.37","25.47","40.76","23.22","","24.04%"
"05/07/2023","28.80","30.15","35.42","25.45","","-8.19%"
"05/14/2023","30.25","31.02","35.08","26.31","","5.03%"
"05/21/2023","23.44","29.19","39.06","23.44","","-22.51%"
"05/28/2023","19.47","20.32","25.40","17.74","","-16.94%"
"06/04/2023","17.49","19.07","21.90","16.82","","-10.17%"
"06/11/2023","18.01","19.79","21.47","17.09","","2.97%"
"06/18/2023","15.50","19.24","20.41","14.06","","-13.94%"
"06/25/2023","12.52","15.49","15.97","11.35","","-19.23%"
"07/02/2023","13.24","12.25","18.79","11.82","","5.75%"
"07/09/2023","9.56","14.20","14.44","9.25","","-27.79%"
"07/16/2023","9.34","10.12","11.19","8.72","","-2.30%"
"07/23/2023","12.58","9.52","14.71","9.20","","34.69%"
"07/30/2023","20.96","13.36","22.66","12.41","","66.61%"
"08/06/2023","19.59","19.39","23.83","17.71","","-6.54%"
"08/13/2023","25.33","22.51","29.39","19.10","","29.30%"
"08/20/2023","25.18","32.16","32.16","22.44","","-0.59%"
"08/27/2023","19.58","26.82","26.82","18.93","","-22.24%"
"09/03/2023","20.80","25.33","25.48","20.45","","6.23%"
"09/10/2023","21.06","28.13","28.13","17.91","","1.25%"
"09/17/2023","27.10","24.66","200.54","3.72","","28.68%"
"09/24/2023","24.67","31.76","31.76","20.05","","-8.97%"
"10/01/2023","22.24","31.34","32.38","6.32","","-9.85%"
"10/08/2023","22.43","27.03","27.03","16.72","","0.85%"
"10/15/2023","29.09","24.93","29.52","19.36","","29.69%"
"10/22/2023","34.46","36.33","36.33","22.41","","18.46%"
"10/29/2023","24.31","40.56","40.56","23.78","","-29.45%"
"11/05/2023","20.38","30.28","30.28","20.38","","-16.17%"
"11/12/2023","18.91","28.51","28.51","18.22","","-7.21%"
"11/19/2023","20.13","23.86","23.86","18.05","","6.45%"
"11/26/2023","23.81","23.87","25.23","20.22","","18.28%"
"12/03/2023","21.72","28.14","28.14","21.72","","-8.78%"
"12/10/2023","18.03","29.36","29.36","16.05","","-16.99%"
"12/17/2023","20.48","22.59","23.95","17.71","","13.59%"
"12/24/2023","14.24","20.70","20.71","13.74","","-30.47%"
"12/31/2023","14.43","17.76","17.76","13.51","","1.33%"
"01/07/2024","11.35","17.58","17.58","10.80","","-21.34%"
"01/14/2024","12.03","17.25","17.37","12.01","","5.99%"
"01/21/2024","10.69","13.60","13.60","10.07","","-11.14%"
"01/28/2024","16.43","14.49","17.95","9.99","","53.70%"
"02/04/2024","13.80","20.81","20.81","13.34","","-16.01%"
"02/11/2024","13.30","17.25","19.54","11.78","","-3.62%"
"02/18/2024","16.15","17.48","19.07","15.26","","21.43%"
"02/25/2024","13.98","19.42","19.42","13.98","","-13.44%"
"03/03/2024","12.62","17.58","17.66","9.24","","-9.73%"
"03/10/2024","14.38","17.35","17.35","10.61","","13.95%"
"03/17/2024","11.06","15.53","18.21","10.20","","-23.09%"
"03/24/2024","9.38","10.58","10.63","8.52","","-15.19%"
"03/31/2024","14.56","10.33","16.21","8.48","","55.22%"
"04/07/2024","15.88","15.10","19.27","12.66","","9.07%"
"04/14/2024","18.79","17.63","21.79","14.19","","18.32%"
"04/21/2024","12.83","21.09","21.09","11.02","","-31.72%"
"04/28/2024","14.61","12.96","19.23","11.27","","13.87%"
"05/05/2024","12.89","16.31","16.43","12.11","","-11.77%"
"05/12/2024","11.45","19.12","19.22","11.05","","-11.17%"
"05/19/2024","12.73","12.58","16.35","11.32","","11.18%"
"05/26/2024","12.59","14.72","17.49","10.82","","-1.10%"
"06/02/2024","11.56","16.94","17.55","11.00","","-8.18%"
"06/09/2024","9.41","13.26","17.32","8.67","","-18.60%"
"06/16/2024","7.92","10.42","10.88","7.34","","-15.83%"
"06/23/2024","5.59","9.99","9.99","5.24","","-29.42%"
"06/30/2024","4.06","6.71","7.19","3.48","","-27.37%"
"07/07/2024","2.93","4.12","4.72","2.84","","-27.83%"
"07/14/2024","10.05","4.77","11.07","3.68","","243.00%"
"07/21/2024","11.77","10.69","16.95","8.46","","17.11%"
"07/28/2024","21.85","13.22","27.78","10.78","","85.64%"
"08/04/2024","22.72","76.91","76.91","22.32","","3.98%"
"08/11/2024","10.62","29.45","29.45","10.39","","-53.26%"
"08/18/2024","9.49","14.35","14.35","8.86","","-10.64%"
"08/25/2024","13.73","10.42","15.86","8.43","","44.68%"
"09/01/2024","29.29","19.65","31.63","16.34","","113.33%"
"09/08/2024","17.55","31.52","31.52","16.84","","-40.08%"
"09/15/2024","15.40","22.24","36.79","1.64","","-12.25%"
"09/22/2024","12.36","17.16","17.16","9.76","","-19.74%"
"09/29/2024","11.24","13.64","17.68","10.35","","-9.06%"
"10/06/2024","16.96","23.51","23.55","16.23","","50.89%"
"10/13/2024","12.94","19.60","19.60","12.65","","-23.70%"
"10/20/2024","15.08","13.63","16.25","11.96","","16.54%"
"10/27/2024","25.05","15.45","25.91","13.01","","66.11%"
"11/03/2024","11.64","31.39","31.39","11.44","","-53.53%"
"11/10/2024","10.54","14.69","14.69","7.84","","-9.45%"
"11/17/2024","13.11","13.90","19.04","11.03","","24.38%"
"11/24/2024","11.25","14.54","15.06","10.89","","-14.19%"
"12/01/2024","8.27","12.23","12.43","8.12","","-26.49%"
"12/08/2024","8.17","10.22","10.81","7.49","","-1.21%"
"12/15/2024","19.24","8.83","30.14","5.49","","135.50%"
"12/22/2024","11.84","17.20","21.52","8.62","0.00K","-38.46%"
"12/29/2024","11.48","14.74","17.51","11.08","0.00K","-3.04%"
"01/05/2025","16.86","10.33","17.65","8.44","0.00K","46.86%"
"01/12/2025","11.34","18.69","19.01","10.83","0.01K","-32.74%"
"01/19/2025","7.64","11.03","11.41","7.20","0.00K","-32.63%"
"01/26/2025","8.34","11.99","11.99","5.39","0.00K","9.16%"
"02/02/2025","11.14","12.17","19.71","7.21","","33.57%"
"02/09/2025","7.70","10.79","13.51","7.24","","-30.88%"
"02/16/2025","13.71","9.30","14.46","8.18","","78.05%"
"02/23/2025","20.73","13.79","26.30","12.97","","51.20%"
"03/02/2025","30.11","20.27","35.38","19.59","","45.25%"
"03/09/2025","30.48","34.22","167.21","24.76","","1.23%"
"03/16/2025","27.23","29.46","34.24","26.29","","-10.66%"
"03/23/2025","27.15","25.16","27.92","20.92","","-0.29%"
"03/30/2025","45.83","27.95","47.14","0.64","","68.80%"
"04/06/2025","42.53","50.29","526.02","17.65","","-7.20%"
"04/13/2025","36.60","36.46","43.23","32.65","","-13.94%"
"04/20/2025","31.19","39.94","44.95","30.54","","-14.78%"
"04/27/2025","29.88","29.69","37.74","28.93","","-4.20%"
"05/04/2025","30.07","31.89","37.35","28.67","","0.64%"
"05/11/2025","16.68","24.53","25.73","15.80","","-44.53%"
"05/18/2025","26.61","20.75","28.75","18.48","","59.53%"
"05/25/2025","22.89","21.40","25.82","18.28","","-13.98%"
"06/01/2025","19.88","23.30","26.00","19.44","","-13.15%"
"06/08/2025","27.49","21.29","29.51","20.23","","38.28%"
"06/15/2025","27.87","23.82","30.82","23.55","","1.38%"
"06/22/2025","15.13","25.76","31.40","14.94","","-45.71%"
"06/29/2025","14.14","14.48","15.57","12.80","","-6.54%"
"07/06/2025","12.11","14.48","16.70","11.21","","-14.36%"
"07/13/2025","12.92","13.30","18.54","12.08","","6.69%"
"07/20/2025","10.82","12.70","14.72","10.74","","-16.25%"
"07/27/2025","20.10","10.08","22.96","8.84","","85.77%"
"08/03/2025","10.93","16.09","17.50","10.93","","-45.62%"
"08/10/2025","10.22","11.53","13.48","8.94","","-6.50%"
"08/17/2025","9.56","10.99","16.56","9.40","","-6.46%"
"08/24/2025","14.37","10.44","15.53","9.02","","50.31%"
"08/31/2025","15.29","20.66","22.59","13.85","","6.40%"
"09/07/2025","12.36","14.90","16.66","11.78","","-19.16%"
"09/14/2025","13.29","12.19","16.30","12.06","","7.52%"
"09/21/2025","10.59","13.31","15.81","10.59","","-20.32%"
"09/28/2025","9.22","10.26","11.07","7.90","","-12.94%"
"10/05/2025","14.57","8.57","16.40","1.04","","58.03%"
"10/12/2025","13.02","12.49","19.53","10.66","","-10.64%"
"10/19/2025","7.71","11.34","16.73","7.23","","-40.78%"
"10/26/2025","12.53","7.51","14.99","6.67","","62.52%"
"11/02/2025","15.01","13.06","22.11","11.09","","19.79%"
"11/09/2025","17.32","16.90","22.27","12.03","","15.39%"
"11/16/2025","24.52","22.88","31.72","16.35","","41.57%"
"11/23/2025","14.97","25.87","58.79","14.14","","-38.95%"
"11/30/2025","13.54","19.13","19.13","13.08","","-9.55%"
"12/07/2025","13.86","16.30","17.95","11.38","","2.36%"
"12/14/2025","13.75","14.65","20.69","13.72","","-0.79%"
"12/21/2025","10.30","14.12","14.12","9.99","","-25.09%"
"12/28/2025","9.88","12.46","13.17","9.54","","-4.08%"
"01/04/2026","6.79","9.69","9.73","6.75","","-31.28%"
"01/11/2026","8.58","9.59","12.10","7.39","","26.36%"
"01/18/2026","8.33","17.02","17.02","7.17","","-2.91%"
"01/25/2026","10.79","8.88","13.21","6.88","","29.53%"
"02/01/2026","11.86","12.12","19.24","8.24","","9.92%"
"02/08/2026","16.08","15.60","18.58","10.03","","35.58%"
"02/15/2026","13.94","18.98","20.16","13.66","","-13.31%"
"02/22/2026","15.01","16.44","19.36","10.65","","7.68%"
"03/01/2026","30.93","23.67","32.15","15.70","","106.06%"
"03/08/2026","37.21","36.06","37.74","22.63","","20.30%"
"03/15/2026","38.70","33.61","44.67","26.67","","4.00%"
"03/22/2026","41.68","40.27","47.77","21.95","","7.70%"
"03/29/2026","25.00","38.73","39.13","23.81","","-40.02%"
"04/05/2026","13.58","27.06","30.78","12.55","","-45.68%"
"04/12/2026","10.84","16.35","16.35","9.14","","-20.18%"
"04/19/2026","11.17","13.05","16.68","6.11","","3.04%"
"04/26/2026","12.13","12.31","13.53","9.20","","8.59%"
"05/03/2026","10.08","13.91","15.30","9.97","","-16.90%"
"05/10/2026","10.83","11.68","12.48","8.06","","7.44%"
"05/17/2026","10.92","11.16","12.90","10.07","","0.83%"
"05/24/2026","6.33","10.28","10.63","6.31","","-42.03%"
"05/31/2026","14.52","7.15","14.60","5.46","","129.38%"
"06/07/2026","10.74","10.57","19.65","9.88","","-26.03%"
"06/14/2026","8.02","8.10","12.73","7.64","","-25.33%"
"06/21/2026","9.59","6.79","14.03","6.56","","19.58%"
"06/28/2026","5.26","9.01","10.63","4.96","","-45.15%"
"07/05/2026","3.44","4.51","7.34","3.29","","-34.60%"
"07/12/2026","5.51","4.35","5.94","4.25","","60.17%"
