"Date","Price","Open","High","Low","Vol.","Change %"
"05/22/2024","12.10","12.13","14.13","11.93","","5.86%"
"05/21/2024","11.43","13.04","13.11","11.43","","-6.85%"
"05/20/2024","12.27","12.58","13.76","11.32","","7.16%"
"05/17/2024","11.45","11.90","12.34","11.05","","-5.68%"
"05/16/2024","12.14","12.76","13.20","11.91","","-3.57%"
"05/15/2024","12.59","14.36","14.65","12.59","","-23.09%"
"05/14/2024","16.37","16.74","17.53","15.85","","-2.73%"
"05/13/2024","16.83","19.12","19.22","15.59","","30.57%"
"05/10/2024","12.89","12.62","13.50","12.11","","-3.88%"
"05/09/2024","13.41","13.95","14.64","13.41","","-5.83%"
"05/08/2024","14.24","15.57","16.01","14.05","","-3.46%"
"05/07/2024","14.75","14.85","15.91","14.55","","0.34%"
"05/06/2024","14.70","16.31","16.43","14.30","","0.62%"
"05/03/2024","14.61","14.35","15.87","12.49","","-10.59%"
"05/02/2024","16.34","16.19","19.16","16.06","","-6.41%"
"05/01/2024","17.46","17.52","19.23","14.89","","23.31%"
"04/30/2024","14.16","12.25","15.16","11.96","","25.09%"
"04/29/2024","11.32","12.96","12.99","11.27","","-11.77%"
"04/26/2024","12.83","14.05","14.68","12.83","","14.86%"
"04/25/2024","11.17","15.68","16.34","11.02","","-14.41%"
"04/24/2024","13.05","13.13","13.89","12.21","","0.08%"
"04/23/2024","13.04","14.82","15.39","13.04","","-15.16%"
"04/22/2024","15.37","21.09","21.09","15.09","","-18.20%"
"04/19/2024","18.79","19.04","20.20","17.87","","0.70%"
"04/18/2024","18.66","17.93","19.87","17.43","","-4.70%"
"04/17/2024","19.58","19.24","21.79","18.23","","-2.64%"
"04/16/2024","20.11","20.42","21.70","18.04","","-4.69%"
"04/15/2024","21.10","17.63","21.20","14.19","","32.87%"
"04/12/2024","15.88","15.71","19.27","15.21","","25.43%"
"04/11/2024","12.66","14.80","16.76","12.66","","-16.33%"
"04/10/2024","15.13","16.04","17.17","14.26","","13.59%"
"04/09/2024","13.32","12.98","16.41","12.78","","3.34%"
"04/08/2024","12.89","15.10","15.20","12.74","","-11.47%"
"04/05/2024","14.56","14.54","15.84","13.08","","-1.82%"
"04/04/2024","14.83","10.64","16.21","10.62","","24.00%"
"04/03/2024","11.96","13.09","13.16","11.43","","0.76%"
"04/02/2024","11.87","11.74","13.17","11.49","","22.37%"
"04/01/2024","9.70","10.33","10.35","8.48","","3.41%"
"03/28/2024","9.38","8.84","9.69","8.57","","4.11%"
"03/27/2024","9.01","8.78","9.72","8.69","","-4.45%"
"03/26/2024","9.43","9.09","9.88","8.52","","-1.26%"
"03/25/2024","9.55","10.58","10.63","8.77","","-13.65%"
"03/22/2024","11.06","11.99","12.02","10.20","","-10.66%"
"03/21/2024","12.38","13.79","14.27","12.36","","-21.89%"
"03/20/2024","15.85","17.60","18.21","15.50","","-6.32%"
"03/19/2024","16.92","16.77","18.06","16.43","","11.68%"
"03/18/2024","15.15","15.53","15.53","12.49","","5.35%"
"03/15/2024","14.38","14.44","15.69","13.24","","5.12%"
"03/14/2024","13.68","11.02","15.73","10.61","","20.74%"
